game_idx,secret_expr,target_value,guesses_used,solved
0,42+415,457,1.0,1
1,62-7*5,27,1.0,1
2,159+19,178,1.0,1
3,8-8+50,50,1.0,1
4,95+9-2,102,1.0,1
5,53*5-9,256,3.0,1
6,8*24-3,189,2.0,1
7,74*6+5,449,2.0,1
8,26+6-8,24,1.0,1
9,52+370,422,1.0,1
10,83-6-9,68,1.0,1
11,5+3+78,86,2.0,1
12,4*1*73,292,2.0,1
13,5*98+7,497,2.0,1
14,9+68/4,26,3.0,1
15,48-8-9,31,1.0,1
16,305-19,286,1.0,1
17,8+47+9,64,1.0,1
18,49+7-4,52,1.0,1
19,3-5+84,82,1.0,1
20,1+5*86,431,1.0,1
21,15+7+7,29,1.0,1
22,4+85*4,344,2.0,1
23,4/1*31,124,1.0,1
24,6+47+4,57,1.0,1
25,15+9*3,42,1.0,1
26,32*7-9,215,3.0,1
27,8+28-5,31,1.0,1
28,42-4*9,6,1.0,1
29,372+30,402,1.0,1
30,70/1*2,140,3.0,1
31,40/4*5,50,1.0,1
32,397+84,481,1.0,1
33,468-75,393,1.0,1
34,117-84,33,1.0,1
35,188+28,216,1.0,1
36,7/7*62,62,1.0,1
37,29+5*7,64,1.0,1
38,8+4*56,232,2.0,1
39,276+88,364,1.0,1
40,19-2-1,16,1.0,1
41,343-40,303,1.0,1
42,31*8+9,257,3.0,1
43,265+46,311,1.0,1
44,99+3*4,111,3.0,1
45,97-9+8,96,1.0,1
46,97+5*4,117,3.0,1
47,396+99,495,1.0,1
48,3+44/1,47,1.0,1
49,13+3*4,25,1.0,1
50,6*8+21,69,1.0,1
51,25-8-3,14,1.0,1
52,6+5*47,241,2.0,1
53,194-68,126,1.0,1
54,22+8-4,26,1.0,1
55,88-9+1,80,1.0,1
56,9*6-39,15,3.0,1
57,369-25,344,1.0,1
58,4-1+54,57,1.0,1
59,112+53,165,2.0,1
60,16*1*7,112,1.0,1
61,9+16-2,23,3.0,1
62,2*25+7,57,1.0,1
63,66+4-8,62,1.0,1
64,35+7-6,36,1.0,1
65,1+1*16,17,2.0,1
66,327+79,406,1.0,1
67,222-96,126,1.0,1
68,355+27,382,1.0,1
69,77+1+7,85,1.0,1
70,156+45,201,1.0,1
71,458-96,362,1.0,1
72,148+68,216,1.0,1
73,413+39,452,1.0,1
74,99*1-2,97,1.0,1
75,42+5*7,77,1.0,1
76,3/6*60,30,1.0,1
77,2-4+18,16,3.0,1
78,1*5*33,165,4.0,1
79,7/1*30,210,3.0,1
80,75+230,305,1.0,1
81,6*23-6,132,3.0,1
82,203+78,281,1.0,1
83,5*3+25,40,1.0,1
84,294-98,196,1.0,1
85,242-84,158,1.0,1
86,35+338,373,1.0,1
87,4+81+3,88,1.0,1
88,37*9+8,341,3.0,1
89,31*2*8,496,3.0,1
90,56*5/4,70,1.0,1
91,5/5*48,48,1.0,1
92,49*3*1,147,1.0,1
93,1+43*2,87,1.0,1
94,60*8/5,96,1.0,1
95,135-21,114,1.0,1
96,34-6+6,34,1.0,1
97,95-3+2,94,1.0,1
98,50*2-5,95,1.0,1
99,3*6+91,109,1.0,1
